,,,,,,,
,,,,,,,
,"Favorite online dating website or app in the United States 2018, by age group",,,,,,
,"Most popular online dating app or websites according to online users in the United States as of January 2018, by age group",,,,,,
,,18 - 29 years,30 - 44 years,45 - 54 years,55 - 64 years,65 and over,
,Tinder,14,5,1,1,0,in %
,PlentyofFish,8,7,4,1,1,in %
,Match.com,7,9,7,7,2,in %
,OkCupid,6,4,2,1,1,in %
,EHarmony,4,5,3,5,4,in %
,Coffee Meets Bagel,3,3,1,0,0,in %
,Bumble,3,2,1,1,0,in %
,Grindr,3,2,0,2,0,in %
,A religious based dating app*,2,2,4,3,4,in %
,Hinge Down,2,1,1,0,0,in %
,Happn,1,1,0,0,0,in %
,None,47,59,75,79,88,in %
